Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2771433860921008530,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008530,"920 304,00 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,10.11.21,30.12.21,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛАНЦЕТ"" (АО ""ЛАНЦЕТ"")",7718538045,"107553, Г МОСКВА 77, УЛ ЧЕРКИЗОВСКАЯ Б., ДОМ 24А, СТРОЕНИЕ 1, ОФИС 527",+7 (495) 646-56-65,info@lancetpharm.ru,
№ 2771008136721000161,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771008136721000161,"1 600 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ АКАДЕМИЧЕСКИЙ МУЗЫКАЛЬНЫЙ ТЕАТР ИМЕНИ НАРОДНЫХ АРТИСТОВ К. С. СТАНИСЛАВСКОГО И ВЛ. И. НЕМИРОВИЧА-ДАНЧЕНКО""","ГБУК Г. МОСКВЫ ""МАМТ""",7710081367,09.11.21,20.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ""ДИОЦЕЗ-СТРОЙ"" (ООО ""НПО ""ДИОЦЕЗ-СТРОЙ"")",7703209513,"124365, Г МОСКВА 77, Г ЗЕЛЕНОГРАД, УЛ ЗАВОДСКАЯ, 21А, СТР.12",+7 (965) 443-92-01,office@diocese-stroy.ru,
№ 2771433860921008528,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008528,"559 845,60 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,20.12.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОСЕРВИС"" (ООО ""ЕВРОСЕРВИС"")",7604362486,"150010, ОБЛ ЯРОСЛАВСКАЯ 76, Г ЯРОСЛАВЛЬ, УЛ ЗВЕЗДНАЯ, ДОМ 21, ОФИС 37",+7 (495) 221-56-74,auction@euro-service-yar.ru,
№ 2770182732021001374,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001374,"9 479 377,50 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,10.11.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПСК ""ПРОМЖИЛСТРОЙИНВЕСТ"" (ООО ПСК ""ПЖИ"")",7703661293,"123100, Г МОСКВА 77, УЛ КОСТИКОВА, ДОМ 3, ЭТ/ПОМ/КОМ ЦОК/IIIA/1",+7 (495) 605-27-08,info@pzsi.ru,
№ 2771433860921008527,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008527,"7 512 600,00 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИЕСТА"" (ООО ""ТРИЕСТА"")",7843014747,"197375, Г САНКТ-ПЕТЕРБУРГ 78, УЛ МАРШАЛА НОВИКОВА, ДОМ 41, КОРПУС 1 ЛИТЕР А, ПОМЕЩЕНИЕ 28/О",+7 (953) 157-81-22,ceo@triesta.ru,
№ 2771536308321000060,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771536308321000060,"934 391,37 ₽",УПРАВА РАЙОНА БИБИРЕВО ГОРОДА МОСКВЫ,,7715363083,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОС-АЛЬЯНС"" (ООО ""ГОС-АЛЬЯНС"")",7814776130,"197183, Г САНКТ-ПЕТЕРБУРГ 78, УЛ СЕСТРОРЕЦКАЯ, ДОМ 8, ЛИТЕР А, ПОМЕЩЕНИЕ 29Н, ОФИС 12",+7 (985) 296-21-45,gos-alliance@bk.ru,
№ 2970510175921000536,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2970510175921000536,"2 993 141,95 ₽",ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ГОСУДАРСТВЕННЫХ УЧРЕЖДЕНИЙ ДЕПАРТАМЕНТА ОБРАЗОВАНИЯ И НАУКИ ГОРОДА МОСКВЫ,ГКУ ДИРЕКЦИЯ ДОНМ,9705101759,10.11.21,31.12.21,ДОБРАНСКАЯ СВЕТЛАНА АЛЕКСАНДРОВНАИндивидуальный предприниматель,581300550604,"ОБЛ МОСКОВСКАЯ 50, Г МЫТИЩИ",+7 (905) 740-17-77,dobranskaya@internet.ru,
№ 2771609955421001248,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771609955421001248,"1 451 308,74 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №40 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ №40 ДЗМ""",7716099554,08.11.21,31.12.21,ПИРОЖКИН АНТОН ВЛАДИМИРОВИЧИндивидуальный предприниматель,230909124946,Город Москва 77,+7 (916) 347-84-44,ippirozhkin@yandex.ru,
№ 2771609955421001247,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771609955421001247,"889 965,01 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №40 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ №40 ДЗМ""",7716099554,08.11.21,31.12.21,МАТАЕВ ЭЛЬДИЯР АШИМОВИЧИндивидуальный предприниматель,501816683501,"ОБЛ. МОСКОВСКАЯ 50, Г. КОРОЛЁВ",+7 (926) 049-97-92,Kasadaga00@gmail.com,
№ 2772000185021000866,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772000185021000866,"2 809 791,60 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 15 ИМЕНИ О.М. ФИЛАТОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ № 15 ДЗМ""",7720001850,01.01.22,31.12.22,РЕВА МАРИЯ ДМИТРИЕВНАИндивидуальный предприниматель,236101047850,"КРАЙ КРАСНОДАРСКИЙ 23, Г ЕЙСК",+7 (910) 486-27-23,reva_md@mail.ru,
