Ссылка на Решение об одностороннем отказе от исполнения контракта,Ссылка на контракт,Реестровый номер контракта,Цена контракта,Заключение контракта,Срок исполнения,Размещен контракт в реестре контрактов,Обновлен контракт в реестре контрактов,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН заказчика,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166329,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=2771926082921000015,27719260829 21 000015,"6 429,35 ₽",05.04.21,10.10.21,07.04.21,07.04.21,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 448""","ГБОУ ""ШКОЛА № 448""",7719260829,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБЭНЕРГО-СЕРВИС"" (ООО ""СИБЭНЕРГО-СЕРВИС"")",6164029722,"344082, ОБЛ РОСТОВСКАЯ 61, Г РОСТОВ-НА-ДОНУ, ПЕР БРАТСКИЙ, ДОМ 37, ЛИТЕР Б, ОФИС 9",+7 (863) 270-91-08,ses@sibenergo-servis.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166319,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=2504101975421000455,25041019754 21 000455,"525 230,00 ₽",07.10.21,31.12.21,12.10.21,10.11.21,УПРАВЛЕНИЕ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ МИРОВЫХ СУДЕЙ МОСКОВСКОЙ ОБЛАСТИ,,5041019754,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛТАЙМЕТАЛЛСЕРВИС"" (ООО ""АЛТАЙМЕТАЛЛСЕРВИС"")",2223621855,"656054, КРАЙ АЛТАЙСКИЙ 22, Г БАРНАУЛ, УЛ АНТОНА ПЕТРОВА, ДОМ 208, КВАРТИРА 15",7-3852-465073,ams-po@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166317,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=3500700721221000042,35007007212 21 000042,"11 740 000,00 ₽",31.08.21,31.12.21,01.09.21,20.10.21,АДМИНИСТРАЦИЯ ДМИТРОВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ ДМИТРОВСКОГО ГОРОДСКОГО ОКРУГА,5007007212,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТ-КАПИТАЛ"" (ООО ""ИНВЕСТ-КАПИТАЛ"")",5038112746,"141207, ОБЛ. МОСКОВСКАЯ 50, Г. Пушкино, ПР-КТ МОСКОВСКИЙ, Д. 16, КВ. 78",7-929-9004368,top-group@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166304,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1771818289621000116,17718182896 21 000116,"276 679,65 ₽",18.06.21,31.12.21,22.06.21,21.06.21,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КОМБИНАТ ""СИГНАЛ"" ИМ. А.А. ГРИГОРЬЕВА УПРАВЛЕНИЯ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО ГОСУДАРСТВЕННЫМ РЕЗЕРВАМ ПО ЦЕНТРАЛЬНОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ","ФГКУ КОМБИНАТ ""СИГНАЛ"" ИМ. А.А. ГРИГОРЬЕВА РОСРЕЗЕРВА",7718182896,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМУМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМУМ"")",7726358631,"127247, Г МОСКВА 77, Ш ДМИТРОВСКОЕ, ДОМ 100, ЭТ.  7 ПОМ. I. КОМ. 8",8-968-0688894,rabota.maksimum15@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166297,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=3503617225021000019,35036172250 21 000019,"1 599 479,28 ₽",24.08.21,31.12.21,26.08.21,24.08.21,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ПАРК КУЛЬТУРЫ И ОТДЫХА ИМЕНИ В.ТАЛАЛИХИНА""","МБУ ""ПКИО ИМ В.ТАЛАЛИХИНА""",5036172250,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-ТЕЛЕКОМ"" (ООО ""АРТ-ТЕЛЕКОМ"")",5036166390,"142116, ОБЛ МОСКОВСКАЯ 50, Г ПОДОЛЬСК, УЛ ЛОБАЧЕВА, ДОМ 13, КОРПУС ЛАБ.-ИНЖ., ОФИС 509",79258500444,arttelekom2@yandex.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166288,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1772103721821000004,17721037218 21 000004,"25 108 078,56 ₽",28.06.21,10.09.21,02.07.21,08.09.21,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ УПРАВЛЕНИЯ""",ГУУ,7721037218,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТСТРОЙ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТСТРОЙ"")",7736288550,"117279, Г МОСКВА 77, УЛ ПРОФСОЮЗНАЯ, ДОМ 93А, ЭТ 2 ПОМ 1 КОМ 24А",7-909-9929393,soult@ya.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166263,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770283417621000002,17702834176 21 000002,"259 886,15 ₽",28.01.21,29.10.21,29.01.21,28.01.21,УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ НА МОСКОВСКОМ МЕТРОПОЛИТЕНЕ ГЛАВНОГО УПРАВЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ,УВД НА ММ ГУ МВД РОССИИ ПО Г. МОСКВЕ,7702834176,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСС ГРУП"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСС ГРУП"")",9718161900,"107113, Г МОСКВА 77, УЛ МАЛЕНКОВСКАЯ, ДОМ 14, КОРПУС 3, ЭТ 1 П 4 К 4 ОФ 104",7-925-4888778,adelabalbus@yandex.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166257,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=3507272297421000033,35072722974 21 000033,"1 540 000,00 ₽",07.07.21,31.12.21,08.07.21,08.07.21,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ЛУХОВИЦЫ МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ЛУХОВИЦЫ,5072722974,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНО-ПРОЕКТНАЯ МАСТЕРСКАЯ ""ГОРИЗОНТ"" (ООО АРХИТЕКТУРНО-ПРОЕКТНАЯ МАСТЕРСКАЯ ""ГОРИЗОНТ"")",7743802857,"125212, Г МОСКВА 77, Ш ЛЕНИНГРАДСКОЕ, ДОМ 56, ЭТ 1 ПОМ II КОМ 13",8-495-6699174,apm.gorizont@yandex.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166179,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1773411789420000012,17734117894 20 000012,"236 090,00 ₽",21.04.20,31.12.21,20.05.20,19.05.20,УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ПО СЕВЕРО-ЗАПАДНОМУ АДМИНИСТРАТИВНОМУ ОКРУГУ ГЛАВНОГО УПРАВЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ,УВД ПО СЗАО ГУ МВД РОССИИ ПО Г. МОСКВЕ,7734117894,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАЗАОПТТОРГ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАЗАОПТТОРГ"")",2116004375,"429500, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА - 21, Р-Н ЧЕБОКСАРСКИЙ, П КУГЕСИ, УЛ СОВЕТСКАЯ, ВЛАДЕНИЕ 4, ОФИС  6",8-352-675022,plazaopttorg@yandex.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166178,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1773411789420000016,17734117894 20 000016,"164 700,00 ₽",22.06.20,31.12.22,08.07.20,07.07.20,УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ПО СЕВЕРО-ЗАПАДНОМУ АДМИНИСТРАТИВНОМУ ОКРУГУ ГЛАВНОГО УПРАВЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ,УВД ПО СЗАО ГУ МВД РОССИИ ПО Г. МОСКВЕ,7734117894,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБАЛСТРОЙ МСК"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБАЛСТРОЙ МСК"")",7730215629,"121601, Г МОСКВА 77, Б-Р ФИЛЁВСКИЙ, ДОМ 37, КВАРТИРА 65",7-926-1277771,Renesans5963@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166136,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770801462021000080,17708014620 21 000080,"126 810,90 ₽",09.07.21,30.12.21,13.07.21,12.07.21,ЦЕНТРАЛЬНАЯ БАЗОВАЯ ТАМОЖНЯ,ЦЕНТРАЛЬНАЯ БАЗОВАЯ ТАМОЖНЯ,7708014620,ТРОПИН АРТЁМ АЛЕКСАНДРОВИЧИндивидуальный предприниматель,690309331361,"Область Тверская 69, Город Тверь",7-905-6020697,a.tropin79@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166130,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770801462021000077,17708014620 21 000077,"637 242,77 ₽",09.07.21,31.12.21,12.07.21,09.07.21,ЦЕНТРАЛЬНАЯ БАЗОВАЯ ТАМОЖНЯ,ЦЕНТРАЛЬНАЯ БАЗОВАЯ ТАМОЖНЯ,7708014620,ТРОПИН АРТЁМ АЛЕКСАНДРОВИЧИндивидуальный предприниматель,690309331361,"Область Тверская 69, Город Тверь",7-991-1132488,a.tropin79@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=166128,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770989550921002345,17709895509 21 002345,"765 992,00 ₽",27.04.21,31.07.21,04.05.21,29.04.21,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ КАЗНАЧЕЙСТВА РОССИИ""","ФКУ ""ЦОКР""",7709895509,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОФИТРЕЙД"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОФИТРЕЙД"")",7729779003,"119634, Г МОСКВА 77, УЛ ШОЛОХОВА, ДОМ 7, КВАРТИРА 145",7-499-5210670,zakaz@ofitrade.ru
