Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2771901936321000044,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771901936321000044,"976 079,45 ₽",ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ № 12 ДЕПАРТАМЕНТА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,ГБУ ПНИ № 12,7719019363,08.11.21,30.04.22,САНСЫЗБАЕВ НУРЛАН АЗИЛОВИЧИндивидуальный предприниматель,522880570299,Г МОСКВА 77,+7 (968) 088-33-34,chato-profi@mail.ru,
№ 2772432200521000058,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772432200521000058,"1 272 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЯБЛИКОВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА ЗЯБЛИКОВО""",7724322005,08.11.21,30.07.22,АВЕТИСЯН СУРИК МИРАНОВИЧИндивидуальный предприниматель,672213919178,"ОБЛ ТУЛЬСКАЯ 71, Р-Н ЩЕКИНСКИЙ, Д ГРЕЦОВКА (ЛАЗАРЕВСКОЕ МО)",+7 (915) 088-64-55,ip_avetisyan@inbox.ru,
№ 2770912942321000480,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770912942321000480,"1 930 786,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ И.В. ДАВЫДОВСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. И.В. ДАВЫДОВСКОГО ДЗМ""",7709129423,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМ АСПЕКТ"" (ООО ""ФАРМ АСПЕКТ"")",7721399835,"109145, Г МОСКВА 77, УЛ ПРИВОЛЬНАЯ, ДОМ 2, КОРПУС 5, ЭТАЖ 4 ПОМ XI КОМ. 29Б",+7 (495) 661-30-41,farmaspect2019@mail.ru,
№ 2772432200521000057,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772432200521000057,"2 534 220,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЯБЛИКОВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА ЗЯБЛИКОВО""",7724322005,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПК-СНАБ"" (ООО ""ПК-СНАБ"")",4028071094,"248001, ОБЛ. КАЛУЖСКАЯ 40, Г. Калуга, УЛ. СУВОРОВА, Д. 121, ПОМЕЩ. 3",+7 (966) 016-56-56,pk-snab@bk.ru,
№ 2773148629021000125,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2773148629021000125,"791 999,60 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",7731486290,01.01.22,31.12.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ ТЕЛЕ СЕТИ"" (ООО «СТС»)",9705135483,"115054, Г. МОСКВА 77, УЛ. БОЛЬШАЯ ПИОНЕРСКАЯ, Д. 15, СТР. 1, ЭТАЖ 1 ПОМЕЩ./КОМ./ОФИС II/4/4",+7 (495) 660-16-09,s-tele-s@yandex.ru,
№ 2771913872321000806,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771913872321000806,"7 999 992,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГБУЗ ИКБ № 2 ДЗМ,7719138723,10.11.21,31.12.21,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФАРМСТАНДАРТ"" (АО ""ФАРМСТАНДАРТ"")",274110679,"141701, ОБЛ МОСКОВСКАЯ 50, Г ДОЛГОПРУДНЫЙ, ПРОЕЗД ЛИХАЧЕВСКИЙ, 5, ""Б""",+7 (495) 970-00-30,ookiryushina@pharmstd.ru,
№ 2771015211321000028,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771015211321000028,"3 654 788,34 ₽",ДЕПАРТАМЕНТ ФИНАНСОВ ГОРОДА МОСКВЫ,,7710152113,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛОВАЯПРЕССА"" (ООО ""ДЕЛОВАЯПРЕССА"")",7714934552,"125124, Г МОСКВА 77, УЛ ПРАВДЫ, ДОМ 17/19",+7 (499) 391-57-36,apdp@delpress.ru,
№ 2771913872321000805,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771913872321000805,"1 236 556,20 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГБУЗ ИКБ № 2 ДЗМ,7719138723,10.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМЛАЙН"" (ООО ""ФАРМЛАЙН"")",7714511476,"127287, Г. МОСКВА 77, УЛ. ХУТОРСКАЯ 2-Я, Д. 38А, СТР. 8, ЭТАЖ 3 ПОМЕЩ. V ОФИС 5",+7 (495) 234-07-04,office@pharmline.ru,
№ 2771433860921008508,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008508,"2 600 000,00 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМИЛТА"" (ООО ""СМИЛТА"")",5001135948,"143910, ОБЛ МОСКОВСКАЯ 50, Г БАЛАШИХА, УЛ КРУПЕШИНА, ДОМ 1, ПОМЕЩЕНИЕ 1А",+7 (915) 478-95-15,smilta@yandex.ru,
№ 1770135001321000017,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770135001321000017,"872 217,40 ₽",ФЕДЕРАЛЬНАЯ СЛУЖБА ПО ТЕХНИЧЕСКОМУ И ЭКСПОРТНОМУ КОНТРОЛЮ,ФСТЭК РОССИИ,7701350013,01.01.22,31.01.23,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ГОРОДСКАЯ ТЕЛЕФОННАЯ СЕТЬ"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ГОРОДСКАЯ ТЕЛЕФОННАЯ СЕТЬ"")",7710016640,"119017, Г МОСКВА 77, УЛ БОЛЬШАЯ ОРДЫНКА, ДОМ 25, СТРОЕНИЕ 1",7-495-4039677,mgts@mgts.ru,
