Ссылка на Решение об одностороннем отказе от исполнения контракта,Ссылка на контракт,Реестровый номер контракта,Цена контракта,Заключение контракта,Срок исполнения,Размещен контракт в реестре контрактов,Обновлен контракт в реестре контрактов,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН заказчика,Наименование поставщика,Сокращенное наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167891,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1771808396920000310,17718083969 20 000310,"9 971 977,44 ₽",18.12.2020,31.12.2021,24.12.2020,01.03.2021,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА""",7718083969,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛАРА ПРАЙМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛАРА ПРАЙМ"")","ООО ""ЭЛАРА ПРАЙМ""",5038132245,"141207, ОБЛ МОСКОВСКАЯ 50, Г ПУШКИНО, УЛ 1-Я СЕРЕБРЯНСКАЯ, ДОМ 2, ПОМЕЩЕНИЕ 254",8-926-2249185,9262249185@bk.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167885,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=3501001075121000074,35010010751 21 000074,"205 322,00 ₽",26.10.2021,31.12.2021,26.10.2021,26.10.2021,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ДУБНА МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ Г.О. ДУБНА,5010010751,КИРИЛЛОВ АНДРЕЙ ЮРЬЕВИЧИндивидуальный предприниматель,ИП КИРИЛЛОВ АНДРЕЙ ЮРЬЕВИЧ,667354851990,"- Свердловская 66, - Екатеринбург",7-963-2709082,arrow.10@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167884,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=2501709985421000043,25017099854 21 000043,"1 775 000,00 ₽",08.11.2021,31.12.2021,08.11.2021,25.11.2021,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ   ОБЛАСТИ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА    ""ИСТИНА""","ГБУ МО ""СШОР ""ИСТИНА""",5017099854,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТИВНАЯ КОМПАНИЯ"" (ООО ""СПОРТИВНАЯ КОМПАНИЯ"")","ООО ""СПОРТИВНАЯ КОМПАНИЯ""",5503190580,"644033, ОБЛ ОМСКАЯ 55, Г ОМСК, УЛ 2-Я ДАЧНАЯ, ДОМ 10, КВАРТИРА 148",7-913-9616141,mkarant91@gmail.com
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167867,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=3507403042521000010,35074030425 21 000010,"1 324 323,03 ₽",18.05.2021,31.12.2021,26.05.2021,25.05.2021,"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ДОМ КУЛЬТУРЫ ""МЕТАЛЛУРГ""","МУК ""ДОМ КУЛЬТУРЫ ""МЕТАЛЛУРГ""",5074030425,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГК ""ПГС"" (ООО ""ГК ""ПГС"")","ООО ""ГК ""ПГС""",7720845879,"111675, Г. МОСКВА 77, УЛ. РУДНЁВКА, Д. 33, КВ. 142",7-903-5605609,pgs-grup@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167861,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1503100773521000045,15031007735 21 000045,"450 000,00 ₽",27.08.2021,04.10.2021,31.08.2021,27.08.2021,ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ПРОБЛЕМ ХИМИЧЕСКОЙ ФИЗИКИ РОССИЙСКОЙ АКАДЕМИИ НАУК,ИПХФ РАН,5031007735,ПЕТРАКОВ ВЛАДИМИР ПАВЛОВИЧИндивидуальный предприниматель,ИП ПЕТРАКОВ ВЛАДИМИР ПАВЛОВИЧ,519017776214,"ОБЛ МУРМАНСКАЯ 51, Г МУРМАНСК",7-99606-27272,info@prof-kom.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167859,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770540134021003630,17705401340 21 003630,"29 200,00 ₽",08.11.2021,30.12.2021,09.11.2021,08.11.2021,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНАЯ КАДАСТРОВАЯ ПАЛАТА ФЕДЕРАЛЬНОЙ СЛУЖБЫ ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ""","ФГБУ ""ФКП РОСРЕЕСТРА""",7705401340,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИКСПРО"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИКСПРО"")","ООО ""ИКСПРО""",4205391803,"650002, ОБЛ КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС 42, Г КЕМЕРОВО, ПР-КТ ШАХТЕРОВ, ДОМ 75, КВАРТИРА 36",8-905-9037927,xpro.2020@mail.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167858,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1771302054921000002,17713020549 21 000002,"1 071 727,33 ₽",07.09.2021,29.11.2021,08.09.2021,07.09.2021,ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ТЕОРЕТИЧЕСКОЙ И ПРИКЛАДНОЙ ЭЛЕКТРОДИНАМИКИ РОССИЙСКОЙ АКАДЕМИИ НАУК,ИТПЭ РАН,7713020549,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИР ОБОРУДОВАНИЯ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИР ОБОРУДОВАНИЯ"")","ООО ""МИР ОБОРУДОВАНИЯ""",7806285146,"195030, Г САНКТ-ПЕТЕРБУРГ 78, УЛ КОММУНЫ, ДОМ 67, ЛИТЕР АД, ПОМЕЩЕНИЕ 1-Н КОМНАТА 15",7-812-9561869,oborudovanie-z@yandex.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167852,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1770757556721000035,17707575567 21 000035,"2 800 000,00 ₽",28.01.2021,12.02.2022,01.02.2021,03.02.2021,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИКО-САНИТАРНАЯ ЧАСТЬ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО Г. МОСКВЕ""","ФКУЗ ""МСЧ МВД РОССИИ ПО Г. МОСКВЕ""",7707575567,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОН"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОН"")","ООО ""МИКРОН""",7709626390,"214016, ОБЛ СМОЛЕНСКАЯ 67, Г СМОЛЕНСК, УЛ ПОКРОВСКОГО, 56",7-910-7884017,efremovvladimir2008@yandex.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167842,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=1773310856920000915,17733108569 20 000915,"1 387 990,89 ₽",09.11.2020,20.01.2022,11.11.2020,01.02.2021,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИКО-ХИРУРГИЧЕСКИЙ ЦЕНТР ИМЕНИ Н.И.ПИРОГОВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМХЦ ИМ. Н.И. ПИРОГОВА"" МИНЗДРАВА РОССИИ",7733108569,Усанов Александр АлександровичИндивидуальный предприниматель,ИП Усанов Александр Александрович,772081866339,"Российская Федерация, Москва г, Строительный проезд, д. 10",8-916-001-33-63,usanaa@bk.ru
https://zakupki.gov.ru//epz/dizk/dizkCard/generalInformation.html?dizkId=167830,https://zakupki.gov.ru/pgz/public/action/contracts/info/common_info/show?source=epz&contractReestrNumber=3501900219121000011,35019002191 21 000011,"599 485,44 ₽",23.06.2021,31.12.2021,23.06.2021,08.10.2021,УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА КАШИРА,УПРАВЛЕНИЕ ОБРАЗОВАНИЯ,5019002191,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ КУБ"" (ООО ""СМАРТ КУБ"")","ООО ""СМАРТ КУБ""",7720497773,"111675, Г МОСКВА 77, УЛ СВЯТООЗЕРСКАЯ, ДОМ 32, ПОМ. XI КОМН. 7А",7-496-0000000,ahmetganova78@yandex.ru
